summonerId,summonerName,leaguePoints,rank,wins,losses,puuid
,,1082,I,83,61,i1XSGBE0Q2bEC2rWln551-2M0fCNdHRf0mQfl3S9YWGLP3QQl2tKswYtx7I-sAsgtGPQ26R2PgTrig
,,1081,I,108,88,9vscxVRTvTHixgyLo4opsDWzmPiSjAygIvRmfRqzlQoWNvJiqGtmMZmoQD8ZxZjV4L8ubzKyyuJ5Lg
,,1080,I,124,100,A55hSVW2WYN4GDYc8ACwluF-gkmI2tfTVFeY_OpWKTFVrN7jRqJkAuqYyoJTRZ44FHbmY_NOqaiFZg
,,1080,I,113,104,FdByADr3nBOtPgyIjt0yNDQJ1DUgj9DjfDXvuSE5c2kXnohEvUOztseDqRy_cHOHwd422FFVd0hYng
,,1077,I,146,109,CO009Dqjd3eyGZrH6VHzyOskf9Qkv6q3990u95vs8zcl4nSF-l5_EtR2L0k1vAjOXQBQruG3ZAqyUQ
,,1077,I,113,99,pUDLiB0wO9XHi2SzIvtDaH153o-2xQJG444oIQ6bwr7OwH5VyUScam-pkKjbWc6WNKqP4wMO-axBCA
,,1076,I,139,125,lf4fOx4e6qTmofCy5LT70kwjWWpf62LHyxTtiE7o5902jUmnVXtlHfsdMrCs9notLGhQkIGjm7KCZA
,,1076,I,117,102,h0BFRZOrbNjS0tAT_tABhSXalR6EseyHkE5vN5xzP3A8mhh4nepFd817EA7fdYH6Flj9bFVUlV8RRg
,,1076,I,89,39,vHNSwyPKF4WEwj_ruCMDy5bFfT1eBx4tjhtObmvMrw-W2kALVQzeH7yzpPGDhWsTbc6pfb48JP-FoA
,,1075,I,159,127,UivNwG7gzp5i6g5X4zfCGDeJ007ic3tBP9oGdgwAqzOqAo9FZAZ3tAfS1Uld_3JKcdGJqXkbq_oz7A
,,1075,I,135,92,5xlwa1rFmd78W4vpLXgIQqENO1jKQm4vBJD21tJLXpIHa_T4P5kzMqnVkU2WMebfA1rkZHQe5lR_Ew
,,1074,I,109,78,EcLiBMTMfFDo9o840ZC8w6EFs4XQIawA5qNW6Ac5MRv7flIKZaG5_xKphKecpLgPP-2f1Mx7_9wEKw
,,1074,I,82,47,qJ-TeTM6X2VnCO_PtcfGWjPHTST03NGwwYzirbiKykubznw73YJN6qnwL2CTYPWT6oiLX5UhnHe4Gg
,,1073,I,65,19,Q8nCZH8zk0j01UQ9uXQ5Q28iDDa0IVe_P7yPdAMjMNStoEEyzWqNvwLIcIZU7BH4ZpnWSRGYdxg9rg
,,1072,I,88,73,ubDsdmYhaAAaZXa2Iw3KQJ5uFtlHhO1cX1mM89r7JFUtT7VgokUeNcnY1N8FNb3VhK7xwCoMCZMpCw
,,1071,I,159,114,niK62W0OYi-Rq6sso9HzuY2CF4Fbl52HMxUZpPV-7d_dlwpFIBs8QfNcAEICKiwtSNiGfruCwiFqvg
,,1071,I,90,56,GDwnmGCcZJBRpLtr02-YzljLCY5JbTifGBTddGqx8tCMIC2P9P7BrRpApaVrdPRKr8foneSmIaDoEw
,,1068,I,130,119,S--lbok6jmM_XoZdIaL5e6CG445WRtU27bsHUTse1lLQLODpUwRgmxHqZOmYBCczdEnva4nhkYMw7g
,,1067,I,85,53,32BJufemipL22iteiPzjgDVBFBob8l250dpvPwc_tjZIPPrjwMU_4FEC_mHqfUtO4MUkO82CwASuwg
,,1066,I,227,179,izXsOveT-tQ6EdAvqr6xb9Fq43XDxJHhiwvMv0Td6fyEUuk6FVS1GUfgArDcniW8SFhCIHV-ncSslA
,,1066,I,139,128,l83OIBhGU2qsdi5bFWu3meAmOUO51qXsz1vzAI_me-tmXkQ8zvKLaJ_3pf5oAqXcc0wxENfDzwRhAA
,,1065,I,91,74,qWnBkzjjdU08ZsTd7_id-ovQE0nXgy5AKuU46-BO7AhkM80VXnEk5Xpfk5JY0p9uG92oF8m6YjgsXA
,,1063,I,128,107,EXJPnk-_x_yMV70DqIUGy-3e2Z7txmAObsS3B6FzuMSgLWnPibvIEgomJRrEpS6Epu6_345Gi8WJ3Q
,,1063,I,75,48,I2bgP1okAddsNZfMVbntmQ8LHtvfy5XR_LJ9En2ETiyYLikK5QQT1pQi1EEZYMGANC4QVhiz5GnInA
,,1062,I,228,185,NAbj9g2w0-UoJvtzouZBrAXsZc0pzQXy680aArCx3IfNpDmWa_JV_iUsRta0TksysgT57kWn_BWyAQ
,,1062,I,104,63,SfxOfFSOVc3ww5Oa6tv93XrH5_VAszXPELqQbHPW7Z6t0a0DFojCx_2XsZbXjTMVWZM49nEaWhaKbQ
,,1061,I,112,82,k5MT4K-wJH4W4kEGCM8hMZvN8dOMtm9Z2zEC6rYQ3QxuVBey2gZsIc8IcD8LBPUwF5UQ5ewzeSao9A
,,1060,I,152,128,9g-7qid0hzPDk-T4XmGtxp9U_h0Bw6qFinbg1jrrD4pLwwCIMnn_WMS9SDh45lyDirDndpZEdh79Lg
,,1058,I,171,159,0Eym5pA2jT_-0jO1sVcAj99jSCmNL5AP9RpC7IhTDWgm-ly8wYk42dCmu-c4uDtGP6A6_ZseiiLx3Q
,,1058,I,96,67,Zy3UXO2ZhR1zqhyjSfCbjSYrPFet4yZgj_ism6-EOcKpP6yeogAcSpCyoO4RDb10CD97HWgC6QTctg
,,1058,I,92,78,2ZHP0cCXmMcJ0julC7ZBNvYTTkeBBwstVazn8UZrTfOMXGZX2IZHyJsZKBXDxyrlTWS0O6SFMZGRvw
,,1056,I,81,13,WnK8J1f7lTQ3Op00rDg919FxmFXI2CfBLOWUaY7SKaUbIqrMS9TGJMo1qRmE0ToO3Tz6VEc1W6hEMQ
,,1055,I,126,98,53pAh_2trHU4T1R6H1empLj85OvS2-RT8qzQrEUb59KP1WDLBkWewRFSwWljDecbsDcojsDu7pLY9g
,,1054,I,219,185,Z0YeTsK2Kbo08S9vEVAM6BGXV225jPDgrpPcVxTpIVt33GKgtKhtdqkV81bcNJbOjTco7suR1U0jpw
,,1054,I,101,72,PMcKDxiEVA-RGgNhe4oyRG68a5rEW_kDHZN0d16g4trwLd8FDo1lfLf7oNVcmKcHXxoUWBq7YYxndg
,,1053,I,99,79,PcgSYWroPBM3Rr_BJC8ioItjDXB0e-PrHYvH9bw4T-q5LvCMcNV1b0p7dDPShgFt7mLzFFxldFWlTw
,,1051,I,115,91,ep9T_U96dHYoEIOZ24c7bq0Rf7-0oY2PNBwiTBfopGnV7LqNvTOuOEoVWJe-2bCnSHYDgenzl-_Vpw
,,1050,I,136,109,UkX5mFAooIxumTeaOhnhppnnovrG-AwteZMTR9W-GxZnmW7ogbxmKy2o38M9gzhgOiztR3HKnioQWg
,,1050,I,134,94,NYpXtCxzKbxWyE8woALkr3YBZ_dRdF846vy8gqbtYjLIJk-oTQeBX6yA0yjHAzL8DqvtQ066bG1iww
,,1042,I,136,106,xiqLYs8uAqjmtLKTk5YJfhyobsf7XtvnOTp-9BtUmKy3ec5s1MZbvjxTw5O6vqmOqAI8uIFpLWPR-A
,,1040,I,157,138,zE0giVPOthhopypLzD-7VCiqub_6wIQxcHjADnFcFyfeDYUpgpXSLaqPtDMj0XlakJZbSMbkCoyvqA
,,1040,I,145,92,9M2onDop6rivEFzODE_73hmME-epESUsS4xSnXnsdBd-UGjAvgU75p4tcspOEhKt9OGYFgiYRVxsyg
,,1040,I,96,52,HRBraAalh5lILS6f3XDFxm-8SrQ9du9mBg616O907WjfzIEQZAMmios0FROXfkKRBf2kYLRfyAhVew
,,1036,I,88,84,0NCBQMG7SkuDVJaM3h3Ia2F6gljl2W60nxyAsC_fJdtjT6-sZfTDBIN2oB-f4yv7FOncOJjYMF5BOw
,,1034,I,201,176,WrUyxW8euPbuggrQhPDFJuwGeX9s_ccFOLNeEEgq3VxLtVpjZWmAlpC25Aji44zVeN2-leeu-DC61w
,,1032,I,138,118,RjVA8-Bg54afpMRF_dKwqAVD9fWmSgRZ5-VYC_-MoYvM95O5E-HTnrRPKOKeIZH1SqMZmg89bMcOvw
,,1031,I,79,49,F6Dtkhs1yne7b5JcX3V9ZgxsipdkGJvAO-Yc8Qb6p3mC98-WEFYaEQ5o_W9lZ2OGFAKGDxChqxmA2g
,,1030,I,81,52,v0iArk1Q3VqWbqzoLO8m-zX1GDkiVMO9RjaSmGmXu0kZ2NX5VsjZm2rvfyJ_XOykqNTSRxzzggcIvQ
,,1029,I,123,102,md1d5IIu6k6V1usHiNWOI9h88x-4R7PNuNDTRapjj5HedTdTtiJWtCalo2ZQ66yoUfwO9hyNxfl_AQ
,,1029,I,73,48,lAzXeUBxP4KUEnQkkSOHiVDtQL494D4saUTnal1dyyfcT7WOV8Ec7wquqgYO5Mxqeyj_iTTWpcQPKA
,,1028,I,112,99,ngSzA5JUZnO6_6cUBd4Bgi-8F9A0KcIJhmIM6iyyOe9KULUY-f4DRaFxVwww9m-f3FBzvinnVdqwBg
,,1027,I,138,131,1xU6XFfdYSHvE23AevCFya7wAkzFYE-Jh9NUJHk0-kY2cVv_5ONasaZAC_xnBvv4SYtZFRWE558dvA
,,1025,I,241,184,BG377rQnzDpesCv9J8-p6YyqfISIrg_rUExVSfiT05qF_AVWB2b4yZqcLARwlzvimZ1NTTvn0m8caw
,,1025,I,190,164,8mVVL8fjVaDyIHeqptyYREmw0b7eHXUFjGIGcz6PTTfPQqSm4ATFw6xHEkqmWEWUBvqjGewpSfLS3A
,,1025,I,102,69,8xxLY4rHqcYemSt9I06c16wVfrw5e4d0x-vKX2Itt9ytxm3k8LHMWfClbOVIfIN2FfMMOSrb2H_9ug
,,1025,I,100,74,CSSo4vODuyzV6vaH8RQLOamJNkW9SJAEZbPFEUoaEfCCuYgklwqLSExhwgXeHuXxQAA2bZWvVn9dpQ
,,1024,I,160,146,Gm1TXDIoZ50cNzMR_t7aPXURxGVY9ONYyFSIuWwuFJVHWWec2UTLdtySKU2UB33rA91GpwMKYEn9iA
,,1023,I,185,115,e0Nc7GbqAD3rHdhmn_DeiE28ZpsJFJklcToNa1MCJiRDaEmKPXKMq0yMmjMtrAOKS6PHBWSh2TbY8Q
,,1022,I,114,85,tW--od0kM_55-0lzH7axx6HAjmUfIE1s5APZRv0JqTof0TnvdWOqod-CkQU31uJDPxzZzmfWqzbLPw
,,1022,I,99,61,Yx3lngoKSND4dsVtvYihW-3UZn_hu9LVvxx6ikkj40WR5Nyv8aMRo-3OghB_Jk0vTqr5Lck50Yq_cg
,,1021,I,83,47,j8JQ5bomb4MQ67FlDwwi6kkYiKsnSGwOTwpYsO3WP-8yHvDd0Nw6-Odg41xyMNb1ZSsTEi3tlr_Utg
,,1019,I,89,71,L78dmjU_PWAZVD-0mRha8QhJP67L9knt5wWzDof3tO-1Ptl2qUmNnSzHB_0XkkuoUYlqzXdsWxOQSw
,,1018,I,142,103,JIQp_NJ26nhnfOS16Cn-ESEXMrdb6zHj0ve8WP99t8VkDK6dy7lz8LRzmWCQ_aY9gnytpxoU8qfbpw
,,1018,I,69,50,iRjpDMljBBiU-KtqhL7z4RJ2HAA9j3ymzSfatwVzNfh02K4wW97FUw8QQ8DIMskpiB_swMgYwkL4TA
,,1017,I,195,165,PBTtP_iGNv-tOxJuf8dEfeomHkKedl3you4skispQHz6KdoO_rJ8ZiyaP_JEoNHOv34jo1-xUo_ZFQ
,,1017,I,182,156,q3SOfmmBLmzQAnT_xr6lya7_Ot_g-dc5Q2OwH0nePTj8ugF03jP4vVzc5pLal34AvjuLnEyPoR6blQ
,,1017,I,175,139,yB-NnN9XFW39_lXbj_z3TLMfnt3rN871Ogk_mVS2Ke7v8DGX8Haz7ZzBH5mE4f09gASt7wU2rYGQ_A
,,1017,I,168,109,zEsYs0jkMUbL-TEZnsOpeZ1bO3IMakUbzIGyAKEE4BGAWtvUFXDqXyKlaRl_fVTKAgQi57cKyJ5s1Q
,,1017,I,135,106,wEbTdODLdZpJZK4KZ-VAUOfDqqGGQKX_4E2AVE2ka_6B3uyMaogROWvkRqWYyoB5w06BAoIzesqH4Q
,,1017,I,114,88,vITObAcCxVHzpzC5w4B4x13Y4ciSE1GRjAj3OwBzHd_u53fQ6Iuo2zyG1IjtrN22lwN1qQoTBEdUqg
,,1017,I,95,59,RxZCFh6F27f_hUuAtTDSwXWzMhNIuv8NwfkWJZelU62ga12biZCPZmSnqnH6SoJUw_wNKWBz9JLphw
,,1016,I,168,139,_-aeVlLjNlvMpG86ujKycsUxwwQyoskH_Z0XHDdU4MgyiOntYpeQoN5_DIBHCtSuyJtab5zpTJ82dw
,,1015,I,100,63,PVz9XusOO4QYYcdJ_s2g9kky_gL9w7nxdHv4wTDvgdMo-LdawvQ6u44blDHwABVHQEFX_BvgKZWTWQ
,,1012,I,105,70,_-SLTajN7EyHq6CIlcbUG6HGYk62JOeOfCtDpMIrDHCehtPoy6MnFIZqWZ5RNuRBVxM-ZVyBj-OEDg
,,1012,I,101,79,mLpfqD-wfVraIxE98owvMCJ4IIU_CriFf59eP6N_5rhVU9FSwOoTX4N61DpwrikC4uWHL3FnCrrAiw
,,1011,I,80,55,7sIhoM9cdTDDPejKpj9xU-Yhk3_Dk0sRZTN45l6xoJ_QMF-0OmSMa08r-mKMpaA-_ysKpfHaJTk5yQ
,,1010,I,57,18,ItLoYnt105IwkXokTh83_SrYOvQcZb4wqy_2Yeisducs-4pGDtuw17wtJNgT77RdEUENxX_poII8sg
,,1009,I,169,146,Y5XDD9hfpnZshOI-bUjhJxO94HuSDIL6_-qHpL_E7u2Nnhcc_H9fShaqwup9QuULUS1jc7nl8KBLAA
,,1007,I,133,100,vAc0F5GEaFWc6U4RACzDoyVRwpkVyraDFyDCfIEzre87EkQN7k4rRduu2tI0MPFD1uh2RD2OZdJsuw
,,1007,I,97,85,AY5j1NwPumS8xUP-51ngG3MQwIOxoq9dHPptSc-l0iqyJp_n0TASRB8saXJCkCH6ExS4DQ7n0fiO9g
,,1005,I,160,144,iUqOkuod7HnDy8sGPXbBWk0WCrECAxATLfZKN5JTN2illk2JkSjVShshrcJE6R1yDxYuo0Hqs4F4Jw
,,1005,I,117,75,CEhX7s2MujDbW2Vfmh0C6M99eAWIJeKbQCbp8b2olY7mG-u4aUvK4g_CQifL84Dg7a0g_O-TCXnsbg
,,1005,I,111,85,dK4a8fwAz9pjhg9D9vu4XxTZ9Fycm5kVhsSPJpScYclgRgVt4fypzSsD_hCVdSnrrwUg8FBYQhwJWg
,,1005,I,74,49,qAeP81WahlHhw0Wqf8j52FuDgTcbzvBe6ZHmryXMip_vZRQduuwWlur2kGYeEG02khMjPHFhRSPFSQ
,,1003,I,72,43,6WU-MCJVB5wK247yHdVmoyId6QiNv--BEsZaF5y9LvDO0wpuEw9vPJRBD5tAs2zK7QQcftKnt_NXYw
,,1002,I,136,98,0HnbFBTZonzXVC9bNBO1THBPUVV3xGtZtzbHR2NZQkPlYEJp9KAw5jDy-KplNzXN-d_AEdzgWtewvA
,,1002,I,68,46,kPX14m8HYmgeCif8R5xvaq6bL-9StMRWpyUE0wPOhL8z6WEBiFFZ9G_hFpuWl8UWKsSmFq5xOt04yg
,,1001,I,100,58,7spGSqiQBJdHp_YUKILsPWM-c-Wvg2vKY5RfqoZD9TkDPDXHTMCsTasfnoTCi4zNOGjWDD61p-QL0Q
,,1000,I,151,121,bVYT5cVkyRbtZcmg5mbfaPLLT1YQrKoVCZVrpCgjMhwM-oerTjKzmJiHYvxfICpbWQKg6Z-M9kamTA
,,1000,I,117,91,ic7L4rdteeD7DUsO5BPdQhfrHr_cKLNtbHx7Ha2cylt_iQ2NqWhf2U0XA6zRxe425OqIhlrL29EqFQ
,,999,I,222,119,kkYZFMlNxxZLx9pAALsvfAm1T_-7WmDADtBT6wHYknsSzBO4BYe9ZQBUxVKlww84dKJ2r1Bun1TnmQ
,,999,I,153,130,ZToQLfGrXqt9s87zl0elF7Np_xwQQSHXdfQbhXeM0IK69325YR8fuDd3dskLnz0sZ8veZbRfh0KKnQ
,,997,I,74,43,gKqXnNJQ-jA0TiQEMw-tCZhqQcrLEQgJIbFqtDukKmd3QGodlMVFF5pb1e8gYg73bVyIwiImVzv4kQ
,,995,I,196,165,uPeSN1_EhiwU6mGaGf5pW6YBhrdwrhbJh2xM9omGZ0OBfjYgkJYOgVL8NCdGuRjrzY2WptFvGfv2dw
,,995,I,134,119,z499m0uFRhO1vRENtBZYzl_43DsV0IS5Zhzq9_85m272XaIXMXMko9TKwYEf8ZR_qKhHULTSYDeLfg
,,995,I,110,91,wk7LpXT0jFGE-WgJcHylXlvJPTfRR92bz_C8VO1CIvZ33k1sL7R0TykonNR8UZcjsrov9_YIyKU3ww
,,994,I,112,70,nSjY2zkOTZ09z_SlyedztPxy87NC9JWIuOWK-Fu37TtPgpNILy0ZTiCUNq7vdQeMv3zrUk2s94p0XQ
,,992,I,127,122,iydIN2qaiRSLgg0R0VKsxxE4XQB5ImA5q7tToLhG9v61JlMagksctUz8AzUXUL7jp5-ksmQXojMuKw
,,992,I,94,87,4IN-0b0KHTXp2m6a-KjMt_StEpDqH3D0DYEzBw-KuvGzFlZdlUWvwdf49zl_rVAzUelazJAOowWZ0g
,,990,I,135,83,1R7Lk_BB1T5qKx5xhZ4bNMy_H6iDxxLUoN4-nbRXn09W2uZIgZcwNDZfJUw8TqM5nIshY1nYF1rAHA
,,990,I,100,90,trJwLSfoSpHA71obcImQOUPe9bi1b4hci5WgdPStoSKblJsagAkZ7T7hELouIAOdC6WcbdudMUTLNg
,,990,I,72,50,h7UI1QJGLc5cuLjjWAzf34UPUT5LeFmu7qvQ9sw7DKZHEq62VTIgYdm6L0VMYz5vYcTPEjFwIplUow
,,989,I,94,67,RytvkAdneE_VlL5G_COF5eK22A3eJpNU-1EQWN2IAr3Bz44WWwgo3AYP7lRedvrmR5brH5IwhnK9FA
,,988,I,119,89,2Ta8--Ghkff1WORwLPVsr35gRS6pkKRCbQfpNUlz3LVM3Dxqaffc5xAZnjOFbnSYBDcR3Qb9NACArA
,,986,I,131,27,FcHvoVFDpD-_levS02MejzqvgOdKbgY58oRPz0RywCIM9UVdNMYFnX2kZktCaU6nPn_T0HyQmcoOMQ
,,983,I,116,108,BveiVcFCnMmTSYBRgVnsdgd-CVjivu8jXgZu8_eqLpf3XYHxDinlx2a0akKLd7bF5hcCNMKXZrVLyQ
,,983,I,84,18,F8JBqfPTNMTkI494z8MlY_Vuq1PSbf4h3CdH0Gxz5xqJfFWhcPHkF5ewnhRIApQoG_8RiS_9h2Ij3w
,,982,I,145,123,K2youH-09YAdFSyGR4eZLg8w6Eaa34WT44M9jGvRWSSlDODuELEs8nFZWOOujyQ-MOmDusa_NfMGUg
,,982,I,133,73,iNAjgo7O9o3y1e2PAGuueH5noHGK49rntlL80U77pWXuKX29WuYJ7LJXgCC_A6r_nZJHy7P_s7ULSg
,,981,I,122,89,ZpQ2ETJso5yYqahF_QZqhopsWWwtcPc8sFJ-IEoJ9abIzONsnpNnXeMV_7K9R8MwtSrf-m1tAhhaHw
,,981,I,78,42,p8LM5zLyXK19UUSKdpM7flTfxifFj887x5GMJKfl_eVW_kUbMpYTNXCTAHwLKzWkubek4GI-Rrhypw
,,979,I,174,152,fVF-emeikPK4-kP5IK8Nsvg_Jr_SGzdg5K-i4rOmpySnXhN3ip8njp6XhVw8_UHjKgYLbaRnXzo9Ww
,,979,I,144,122,UjYRSDhtHU8dC8OD1n-70BhJF6bSIR6kDAKSaCDVzREmEGlKnr0Sjq88XN6V-9-VeZlwAc9bTh_tPA
,,979,I,98,69,Dkvpjnhp0OJRH0wX6bFAJeZDixGHBVxlKbAtgcrRy4-n-QY5mx6AQm2dWhamgOS-w7dB8WokRk1cKA
,,977,I,91,68,vRBzAJ6AV_Uu8XGXYE5RY7Biu6iPj_OmygFISLy19ZAyPRMLmsM76BMKDdSVu5uKdKcL7ob4s824IQ
,,974,I,186,142,h-947YfgxOQQyOwxDOg5WD6nbDZ7Vvs9sQZ4p90JSCLy1Xlp-ks-ITrXwng3ACjrUIL3Rct_XSNmcA
,,974,I,97,74,HCa2QhKA5Lc3vQDhcap0IRtYeXEMJx0A6d89fi9WtIg2ERIOFBi5FnAUUaL1c7PpP0OV1B16nHSQxw
,,974,I,76,57,nr3OfJwGEXQasrSqmp8pvVRduUZyucd5mapGDbiQwfDHHJgQtPmBU5XzeDOUKq9Ybf1oVOG1C9DJjg
,,973,I,96,72,vBqX85kWQB95W7D9oNNq-pmuYTmKw5ikefPXwZX4i8RiY8pEKSenrCLti5zPJFINSUUM2EuifKjl2A
,,972,I,192,164,bqXeVPbapvNN2HzqQv4Nru1_AnDX87XNLKYOMb9y0i644ouVrRMmwZCA5e4osb7HsV3YKFwPF5unFA
,,972,I,161,121,JJE7Cv1HZx3zpejRUprBgsFahHKWIZW63uskXEYX_s4E_7uIdvSseEOeKRt4DLXaN5VWTZF7AyVi3Q
,,972,I,94,71,MpEuUguktXPTpupOCkqiFzn6JKEfi1TPXNwjVCJfL6W2VNsbY7KbSHnUTvnhI8-yRRZvldWRWT7XKg
,,971,I,104,80,gx6GVf2hBauibLBGZvE2Ybtk4fgmtW77IUmWsQihAfcTkoSwscKgQXAQ8jIokSX4jhlPHjNDTL-sIg
,,971,I,99,76,NTgQX5lHjJfR1eTUZwd_nvdSXSZcl82Zwfa4vK7fGSR8x0c8Sh03G93IsXyog9mIvM61YI5A_PGRMA
,,968,I,147,122,QFIhrdN4Owyll51ZCfa40Ef1E9nzwUUSn_OlTSeq0IZlq8h2SfVv4IE5sYcny9VCiXEqjlWQmX0wwA
,,966,I,141,110,Q7wzYoR2KE-MnJ06biLwN6ImAfhuz_1ka81jkVbSGSBq_uDN_L_rAs9FOlim8C4K0KHxnw9FMNP0aA
,,962,I,93,55,9TSSGBdz58EsQWvam0Di5RxtFHTEk73b2nLVf9vCJ7s989SzyFQ4M_8rN-sF4DU_wW6PdiKWhtdrvw
,,960,I,155,120,avQbS6iumk_ZgV1EYcrAVueu52RqYMQ6OSPn2-d9XleEogeh7jBRdXbb_LPT-zl70hS2xHll1dk0Iw
,,960,I,106,97,Qm-reaPNatgeaMOtw3iffs8YcWas8oL9cojwK6lHrwuysivDE3nd9gnqi1ZVjpJttWgQuTN0_ZgIGA
,,959,I,108,104,M86HkJb_2cpNd-y6ZCXNRJoHFsDAXv8nF-wXhoPY0Uy9ch1WHleGPGeZUV0qkEXOZ-wPeJo30N3MLQ
,,958,I,163,124,YBVHUkbG13sMr7vybD_1TvGdg75HKBNgYXJ0Pul_onyCCXJZcJjlTX-Sr2WdZQfIPQtq0in7YQFqww
,,957,I,91,67,rSbQiWRMrM9wj0V90w41Xyrpx5BeWPz_1-ylJ1uTsCnO5qa2o3TyH1Kkf0AkKeBEzFVpjuTttGbGqg
,,956,I,108,84,gkSKEKVgUYaDkLFnpBIiKxo19Ta-SfG5h4axLw0wkVIdCpD5ozpRQSRYdNNk0ZaYJqbBva6wAXrQwA
,,954,I,101,95,bG42510xkCC4Zx0o9di3NjNhIWkhxv9y2JARxcH9dCoGBhpCYVMendfydYgrgx6ST7FP-aXtZA85xQ
,,953,I,158,128,v-xt949vrY8yXYrtYkmi-g_lvY5nyJOWTdCVUXho6q96it0XNmT6j2xpxbsCbs-h9v1D6iUlTbWKBw
,,953,I,89,68,OwNal1ew_EY3MWufI3KkaoF3bdBuSOF6jk7NJfupCHq2Uc8sXj5-KyPoS0bEYqNAiO64Xi3nefcepg
,,952,I,175,151,GCNXoHDPD1YGnmqPf1qC1OFJc05OnHQKTPUBvSQ_MGzga0_kiONkiGjupUx8AMS-ro5Khg2HgwROFQ
,,951,I,296,263,Qf5EuVgVB-_TYih7D9aF9pL6NI92IvfdD6c8cBZrFyV2trJ9rwl6dkdhiP1sbbqWsL-x9MXeQjSw4w
,,951,I,127,100,ld5pMWcYcSkhitf5pKRhH7Q_225AK8sAisDd7YFRrNaxN2ZZvgUZOLYu_O5mT0xS6E05H_uDcQ4tng
,,949,I,122,105,qLfwwew0AU5p6BCS6UGGvCUe1ekkWyphZJXNKdHT7BeoziKET8zGITYSQsXxelntnjSWxFvJprUUPg
,,949,I,101,75,ekzAHcQIDqS4edXRBZFrslFLyehKepuDLUeFoKizalEjIz119IPNL3nAfXQhuBzaXtBy-yEjwrLPHQ
,,949,I,85,70,qVJ4qKkskXU4OjSlKJyfDXHepcDrBwk6QFgpqLoipnDSvtOfIProwwnNTZ493KYqONb0Ec6mawM9xA
,,935,I,102,78,P5n0nLJVJ2zpSGf-OVtbilXRAWOFZdh_0xauaJtTCCoR3bC0UjJug4amIjcG6Ow8Bqy3yh7gwCFWXQ
,,912,I,90,61,2DuzLnsQ_jc03R67oYXjvftpFyLu2Q0G6yIg-1GohDcgrFpws64ay1EXlJYpuf3cOoz1vC3Ph2cDeQ
,,893,I,146,131,mQHvHI-2orbiPbkj_2TkAX7a6NYtJQQ-3jUThYNXzxw8n2cNey3vIuKf0bqurDmUf9e2gMlNiceNSw
